titulo,rating,price,link
. The Show 21 [xbox One],N/A,470.455,https://articulo.mercadolibre.com.co/MCO-1575441353--the-show-21-xbox-one-_JM#polycard_client=search-desktop&search_layout=grid&position=42&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Nhl 12 - Xbox 360,N/A,240.964,https://articulo.mercadolibre.com.co/MCO-2856558962-nhl-12-xbox-360-_JM#polycard_client=search-desktop&search_layout=grid&position=43&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Consola Konami Edens Zero Edición Día Uno Xbox Series X,N/A,255.269,https://articulo.mercadolibre.com.co/MCO-1818527397-consola-konami-edens-zero-edicion-dia-uno-xbox-series-x-_JM#polycard_client=search-desktop&search_layout=grid&position=44&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Nhl 11 - Xbox 360,N/A,191.242,https://articulo.mercadolibre.com.co/MCO-2856571924-nhl-11-xbox-360-_JM#polycard_client=search-desktop&search_layout=grid&position=45&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Xbox 1 Elex (es),N/A,283.038,https://articulo.mercadolibre.com.co/MCO-2859277486-xbox-1-elex-es-_JM#polycard_client=search-desktop&search_layout=grid&position=46&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Consola De Juegos Microsoft Xbox 360 E 500gb Con 2 Juegos,N/A,1.793.849,https://articulo.mercadolibre.com.co/MCO-1848626723-consola-de-juegos-microsoft-xbox-360-e-500gb-con-2-juegos-_JM#polycard_client=search-desktop&search_layout=grid&position=47&type=item&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab
Consola Xbox Series X Edición Digital 1tb Ssd Robot White Bl Blanco,N/A,2.849.900,https://www.mercadolibre.com.co/consola-xbox-series-x-edicion-digital-1tb-ssd-robot-white-bl/up/MCOU3767760595#polycard_client=search-desktop&search_layout=grid&position=48&type=product&tracking_id=983bc096-2584-4a23-878f-3cd94046b8ab&wid=MCO1824679449&sid=search
Xbox One Edición Especial De 500 Gb Reacondicionada,N/A,1.581.418,https://articulo.mercadolibre.com.co/MCO-3701016388-xbox-one-edicion-especial-de-500-gb-reacondicionada-_JM#polycard_client=search-desktop&search_layout=grid&position=1&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
Microsoft Xbox One Fat 500gb + Control + Revision + Obsequio,N/A,749.900,https://articulo.mercadolibre.com.co/MCO-1560452753-microsoft-xbox-one-fat-500gb-control-revision-obsequio-_JM?searchVariation=190332837712#polycard_client=search-desktop&searchVariation=190332837712&search_layout=grid&position=2&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
Consola Xbox One X Gold Rush De 1 Tb Reacondicionada,N/A,3.078.996,https://articulo.mercadolibre.com.co/MCO-3700873606-consola-xbox-one-x-gold-rush-de-1-tb-reacondicionada-_JM#polycard_client=search-desktop&search_layout=grid&position=3&type=item&tracking_id=346c15ef-9baa-4e24-bda9-f8ee51de4179
